id,utc_offset,rsvp_limit,headcount,yes_rsvp_count,duration,photo_url,visibility,waitlist_count,created,maybe_rsvp_count,how_to_find_us,event_url,name,time,updated,status,group_id,group_created,group_group_lon,group_join_mode,group_name,group_urlname,group_group_lat,group_who,venue_id,venue_zip,venue_country,venue_localized_country_name,venue_city,venue_address_1,venue_lon,venue_name,venue_state,venue_lat,venue_repinned,fee_amount,fee_accepts,fee_label,fee_required,fee_currency,description,
"xzwhrqyzgbnc","-14400000","16","0","6","7200000","https://secure.meetupstatic.com/photos/event/5/d/4/e/global_478103886.jpeg","public","0","1548679916000","0","We'll have a table set up for our group and the hostess can direct you. ","https://www.meetup.com/richmondphotography/events/258581810/","West End Breakfast/Networking","1556627400000","1549471716000","upcoming","217552","1135799270000","-77.4599990845","approval","The Richmond Photography Meetup Group","richmondphotography","37.5499992371","Photo Geeks","26065395","23060","us","USA","Glen Allen","4024 Cox Rd","-77.583920","4024 Cox Rd","VA","37.648370","True", , , , , ,"<p>West End Breakfast/Networking is held on Tuesday mornings at Boychik's Deli near Innsbrook, located right next door to Capital Ale. This is a time to connect with your fellow photographers to discuss what and where you've been shooting and get answers to any photography questions or problems you've been having. Great way to start out your day talking photography! If we finish up early, we could plan head out from there for a shoot. Post any ideas you might have.</p> <p>If you can't get enough of talking photography, you are welcome to attend either group. This will have the same informal feel as Dave's meetup in Midlothian but if you have a specific question to discuss, post in the comments and we'll take care of it.</p> <p>This is a great introduction to RPMG for your friends interested in photography. Bring a guest!</p>",
"srmfcqyzgbnc","-14400000", ,"0","6","7200000","https://secure.meetupstatic.com/photos/event/c/5/6/4/global_472010532.jpeg","public","0","1533645631000","0","We will either be in the conversation room on the left or 2nd floor meeting room. Staff will know when you order.","https://www.meetup.com/Florida-Center-Creative-Photography/events/260881384/","Coffee & Photography Meeting at The Portico in Tampa","1556629200000","1533645631000","upcoming","1343044","1230218609000","-82.6399993896","approval","Florida Center for Creative Photography","Florida-Center-Creative-Photography","27.8400001526","FCCP Members","25547457", ,"US","USA","Tampa","1001 North Florida Avenue","-82.458870","The Portico", ,"27.952770","False", , , , , ,"<p>I'm often asked if these meetings are for pros or advanced amateurs and they are not! Everyone is welcome, beginner, pro and all of us in between. Bring your questions and get real answers from certified teachers, working professionals and retired pros. Every Tuesday we show on a HUGE screen, tutorials on software, explain how to get discounts on gear from B &amp; H Photos and discounted software as well.</p> <p>This meetup has been going strong for over 7 years and averages 15 plus members at each meeting. Many of the regulars don't RSVP, so if you're joining us for the first time, please don't worry about the low RSVP count. We have a great time at this weekly meetup and I hope you'll join us for some fun, learning and great coffee and snacks</p> <p>Bring prints, DVD's, or Thumb Drives and we'll review pictures and enjoy our favorite hot/cold beverage. Come early or come late for the many exciting images shown by members and guest. All are welcome.</p> <p>Questions are welcome and if you have specific questions on your camera or lens, please bring them with you (and your owners manual). This is a free meeting that is offered on a weekly basis to all our members and their guests.</p> <p>Upcoming 2018 FCCP PhotoTours</p> <p>Ghost Towns &amp; Spring Wildflowers, Western Montana — May 16 ~ 22, 2018 ( <a href=""https://www.meetup.com/Florida-Center-Creative-Photography/events/242874394/"" class=""linkified"">https://www.meetup.com/Florida-Center-Creative-Photography/events/242874394/</a> )</p> <p>Ghost Towns &amp; Spring Wildflowers, Western Montana — May 23 ~ 29, 2018 ( <a href=""https://www.meetup.com/Florida-Center-Creative-Photography/events/246175160/"" class=""linkified"">https://www.meetup.com/Florida-Center-Creative-Photography/events/246175160/</a> )</p> <p>Yellowstone/Tetons Wildlife with Fall Colors — September 19 ~ 25, 2018 ( <a href=""https://www.meetup.com/Florida-Center-Creative-Photography/events/244223235/"" class=""linkified"">https://www.meetup.com/Florida-Center-Creative-Photography/events/244223235/</a> )</p> <p>Yosemite, Light and Landscapes — October 24 ~ 30, 2018 ( <a href=""https://www.meetup.com/Florida-Center-Creative-Photography/events/244643761/"" class=""linkified"">https://www.meetup.com/Florida-Center-Creative-Photography/events/244643761/</a> )</p> <p>Yellowstone in Winter — Feb/March 2019</p> <p>Ghost Towns &amp; Spring Wildflowers, Western Montana — May 2019</p> <p>Yellowstone/Tetons Wildlife with Fall Colors — September 2019</p> <p>Fall Colors &amp; Lighthouses, Acadia National Park/Portland — October 2019</p> <p>Polar Bears &amp; Northern Lights, Churchill, MB — Oct/Nov 2019</p> <p>My Recommended Retailers</p> <p>Where you buy your gear matters. You expect to get what you ordered and you want to pay a low price for it. The retailers I recommend below are the ones I trust for my own purchases.</p> <p>B &amp; H Photo and Video ( <a href=""http://www.bhphotovideo.com/c/buy/Great-Deals/ci/16478/N/4280521071?BI=4308&amp;KW=&amp;KBID=4736"" class=""linkified"">http://www.bhphotovideo.com/c/buy/Great-Deals/ci/16478/N/4280521071?BI=4308&amp;KW=&amp;KBID=4736</a> )</p> <p>Adorama - The Photography People ( <a href=""http://www.adorama.com/?kbid=64386"" class=""linkified"">http://www.adorama.com/?kbid=64386</a> )</p> <p>Lensrental.com — Rent the Best Cameras &amp; Lenses Available ( <a href=""http://www.pjatr.com/t/TUJGRktHSkJGS0dJS0xCRkpOSkVN"" class=""linkified"">http://www.pjatr.com/t/TUJGRktHSkJGS0dJS0xCRkpOSkVN</a> )</p> <p>Bringing you the activities and this site is now a full time job (typically 60-80 hours per week). Thus, I depend on membership fees and on the commissions received from you using the links on this site to make any purchases. My family and I are grateful for your support! - Jeff</p> <p>FCCP Membership Options:</p> <p>Pay Your Monthly/Ann­ual Optional Dues ( <a href=""https://www.meetup.com/Florida-Center-Creative-Photography/events/240801300/"" class=""linkified"">https://www.meetup.com/Florida-Center-Creative-Photography/events/240801300/</a> )</p>",
"260914559","-18000000", ,"0","6","10800000","https://secure.meetupstatic.com/photos/event/5/5/9/4/global_480741908.jpeg","public","0","1556208058000","0", ,"https://www.meetup.com/SPS-Schertz-Tx/events/260914559/","Japanese Tea Garden","1556634600000","1556208058000","upcoming","21969106","1484680240000","-98.2900009155","approval","Schertz Photography Society                (SPS)","SPS-Schertz-Tx","29.5900001526","Seekers of light","26092931","78212","us","USA","San Antonio","200-414 Alpine","-98.477030","Japanese Tea Garden","TX","29.461382","False", , , , , ,"<p>Photo walk at the Tea Garden - Then lunch after.</p>",
"258102209","-14400000", ,"0","5","7200000", ,"public","0","1547577741000","0", ,"https://www.meetup.com/Rappahannock-Art-League-Photo-Group/events/258102209/","RAL ART CENTER ALL MEMBER SHOW: POSTER ART ","1556632800000","1547578200000","upcoming","14136742","1398623852000","-76.3799972534","open","Rappahannock Art League Photo Group","Rappahannock-Art-League-Photo-Group","37.7099990845","Members","25658978", ,"us","USA","Kilmarnock","19 N. Main Street ","0.000000","RAL Art Center","VA","0.000000","False", , , , , ,"<p>Photography is eligible for this all-member RAL Art Center Show. Interpret the theme ""poster art"" as you wish. Not sure what poster art is? For examples and inspiration, check out ""Fifty Posters that Rocked the World."" <a href=""https://www.xerox.co.uk/en-gb/digital-printing/insights/custom-poster-prints"" class=""linkified"">https://www.xerox.co.uk/en-gb/digital-printing/insights/custom-poster-prints</a></p> <p>Receiving: Monday, April 29 from 10AM-12PM</p> <p>Show: April 30 - June 1</p> <p>Opening Reception: Friday, May 3 from 5-7PM</p> <p>Entry requirements:</p> <p>1. You must be a member of RAL to enter. If you are not a member, you may join RAL when you register.</p> <p>2. You must offer your entry or entries for sale. Items marked NFS are not eligible.</p> <p>3. Pay $15 for your first entry, $5 for your second entry. The limit is 2 entries.</p> <p>4. Entries must be framed or mounted and ready to hang with a wire (make sure the wire is taut enough not to show when hung).</p>",
"260942597","-14400000", ,"0","25","3600000","https://secure.meetupstatic.com/photos/event/7/c/f/5/global_480871989.jpeg","public","0","1556288126000","0","Look for the Orange Pearl Civic SI.","https://www.meetup.com/B-O-A-R-D-W-A-L-K/events/260942597/","Afternoon (Tuesday) Belmont Walk","1556644500000","1556544016000","upcoming","1119227","1208813031000","-73.4400024414","open","B  O  A  R  D  W  A  L  K","B-O-A-R-D-W-A-L-K","40.7299995422","Recreational Walkers, It's Easy","4186582","11703","us","USA","North Babylon 11703","Southern State Pkwy, exit 38","-73.338425","Belmont Lake State Park","NY","40.733960","True", , , , , ,"<p>______________________WHAT IS HENRY DOING???___________________<br/>April Nostalgia Photo's. New ones all through the day.<br/>All old comments will be removed as new nostalgia photo's are added so that new comments can be put in place.------<br/>______________________________________________________________________</p> <p><img src=""https://secure.meetupstatic.com/photos/event/7/9/d/8/600_236251192.jpeg"" /></p> <p>Don't be a No Show. PLEASE ARRIVE BEFORE 1:15. We start the walk ON TIME. If you're late you will need to catch up.</p> <p><a href=""https://www.amazon.com/L.A.-Zett/e/B00MMEQ50Q/ref=dp_byline_cont_ebooks_1"" class=""linkified"">https://www.amazon.com/L.A.-Zett/e/B00MMEQ50Q/ref=dp_byline_cont_ebooks_1</a></p> <p>DOGS ARE WELCOME (on a leash)</p> <p>Many of our members are off from work along with members in the group who are either retired or out of work or maybe are able to take a day off from their busy work schedule. If you’re available you’re welcome to join us. This will be about a 3 mile walk through the woods and around the lake. We'll meet in the first parking lot as you enter the park off of exit 38 of the Southern State Pkwy. The meet &amp; greet event begins at 12:45pm, walk promptly at 1:15pm.</p> <p>Those who need to pay their membership dues ($10) can do so at this event.</p> <p>THE SOONER EVERYONE ARRIVES THE SOONER WE GET STARTED.</p>",
"260781816","7200000", ,"0","10","32400000","https://secure.meetupstatic.com/photos/event/a/6/3/b/global_480582555.jpeg","public","0","1555759072000","0","tram stop: Dvorce ","https://www.meetup.com/meetup-group-LYvvxusY/events/260781816/","Annual Witch  Festival","1556625600000","1555759072000","upcoming","31668757","1555587138000","14.4300003052","open","Žluté lázně (Yellow Park in Prague)","meetup-group-LYvvxusY","50.0800018311","Members","26330730", ,"cz","Czech Republic","Praha 4-Podolí","Podolské nábř. 3/1184","14.414186","Žluté lázně", ,"50.048576","False", , , , , ,"<p>Did you know that 30 April is an important date in the Czech Rep. as it celebrates the 8th-century Catholic Saint who among others combated witchcraft? Come and see how Czechs celebrate this day to Žluté lázně. There will be a special program for children as well as adults. You will also have a chance to see burning of witches at the stake in huge bonfire.</p> <p>Let's meet at the event and celebrate togehter.</p> <p>Jennifer</p>",
"260618316","7200000", ,"0","4","7200000", ,"public","0","1555259678000","0", ,"https://www.meetup.com/Malaga-Photography-Meetup-Group/events/260618316/","Photo walk, host: Nava","1556636400000","1555259678000","upcoming","10078442","1378150647000","-4.42000007629","approval","Malaga Photography Meetup Group","Malaga-Photography-Meetup-Group","36.7200012207","Malaga photographers","26323879", ,"es","Spain","Málaga","Av. de la Aurora, 61","-4.439111","La Canasta", ,"36.715240","True", , , , , ,"<p>Hi guys. Let's meet for photo walk with group member Nava. We can meet at cake shop ""La canasta"", Av. de la Aurora, 61, 29006 Málaga, Spain. After coffee in the shop (get to know each other) we continue for our photo-walk in the area. After 2-2.5h of shooting we return to the meeting point and exchange impressions. Hope to see you guys.</p>",
"260698508","-14400000","6","0","3","14400000", ,"public","0","1555509195000","0", ,"https://www.meetup.com/Danbury-Studio-Photography-Meetup/events/260698508/","Portrait Lighting","1556658000000","1556488084000","upcoming","26809805","1512658475000","-73.4499969482","open","Danbury Studio Photography Meetup","Danbury-Studio-Photography-Meetup","41.3899993896","Members","26153721","06810","us","USA","Danbury","155 Main St suite 214","-73.450430","Paulo Dasilva Photography","CT","41.393047","True","40.0","wepay","Price","1","USD","<p>This Meetup is going to cover Portrait Lighting. We have received requests to hold sessions that are educational as well as photo ops. In this class we will cover the basics of studio portrait lighting including posing, modifier choice and lighting setup. We will work thru a few different lighting setups including beauty / clamshell / butterfly as well as more dramatic lighting. We will also utilize both soft lighting using an umbrella or softbox as well as a beauty dish. A professional model will attend so that we all walk away with some portfolio quality images. Several of you have asked for a session like this. I hope to see you there!</p>",
"260995051","-21600000", ,"0","3","7200000", ,"public","0","1556473254000","0", ,"https://www.meetup.com/Artists-Santa-Fe/events/260995051/","Candace Compton Pappas and GREAT MUSIC by ZAY SANTOS","1556665200000","1556473254000","upcoming","11260842","1385532197000","-105.970001221","approval","Art Santa Fe","Artists-Santa-Fe","35.7000007629","Art lovers","26336712","87501","us","USA","Santa Fe","220 Shelby St","-105.938800","Shelby House","NM","35.685490","False", , , , , ,"<p>TUESDAY | APRIL 30 | 5-7PM</p> <p>YOU'RE INVITED to a special celebration commemorating Candace Compton Pappas' residency here at Shelby House, and the ACT OF COLLECTING. If you like, bring a small found object you've picked up on a recent walk, or from a greater journey.</p> <p>Choose your vessel and we'll display your totem. This collaboration will entitle you to discount should you want to take the vessel home with you.</p> <p>Enjoy some bevvies and light snacks and GREAT MUSIC by ZAY SANTOS.</p> <p>NO NEED TO RSVP</p> <p>A NOTE ON SERENDIPITY, SHELBY HOUSE &amp; ZAY SANTOS</p> <p>THERE'S A UNIQUE ENERGY HERE AT SHELBY HOUSE...</p> <p>Late last summer, just after Shelby House opened, we were discussing plans for the year. Candace and her brother wandered up the walk and here she is.</p> <p>Just a couple of days ago, we were tossing around ideas on how to add a special element to the Act of Collecting reception this Tuesday. At Shelby House, we like to create an experience that touches all the senses. How about some live music?</p> <p>Well, in walks a gentleman with charisma to spare. Seems he's having some car trouble out front. And now Zay is playing an acoustic set for all of us on Tuesday evening. Be sure to join us!</p> <p>When Serendipity pays Shelby House a visit, we just say welcome and thank you.</p> <p>Shelby House &amp; Spirited Goods<br/>220 Shelby Street<br/>Santa Fe | NM | 87501<br/>(between Water &amp; Alameda)<br/>Tel:[masked]<br/>www.shelbyhousesf.com<br/>[masked]</p> <p>MONDAY - SATURDAY | 10AM-6PM<br/>STARTING CINCO DE MAYO, OPEN SUNDAYS FROM 12-5PM</p> <p>Parking is available behind Shelby House during shop hours.<br/>Driveway to parking is located just next to visvim at 222 Shelby Street. Keep right for parking behind Shelby House.</p>",
"lmnbfpyzgbnc","-25200000","25","0","7","7200000","https://secure.meetupstatic.com/photos/event/5/f/1/f/global_467364351.jpeg","public","0","1515277704000","0", ,"https://www.meetup.com/PhotographicArtClub/events/260156011/","Photographic Art Club Monthly Meetup","1556670600000","1556477129000","upcoming","1604712","1267055611000","-117.63999939","open","Photographic Art Club","PhotographicArtClub","33.4599990845","Photographers", , , , , , , , , , , ,"5.0","cash","Price","0","USD","<p>The Photographic Art Club meets at the OC Tavern in San Clemente the last Tuesday of the month. The meeting starts at 6 PM but come between 5 and 6 to get something to eat and drink. It is Taco Tuesday and the fish tacos are great.</p> <p>April Meeting Agenda:<br/>- Photography Updates<br/>- Macro Photography set-up explained<br/>- Peter Lik Photography<br/>- Astrophotography Latest<br/>- Photo Trip Planning to New Mexico<br/>- Photo Processing - Before &amp; After<br/>- Photo Processing - Hobie 50<br/>- Photo Critique</p> <p>One of the best ways to improve your photo skills is to have your images critiqued. To have your images critiqued, make them 6x9"" 120PPI JPEG and upload them into the correct folder under the Photo's Tab.</p> <p>We have a project designed to develop an appreciation of image processing. Where some say they only want to snap pictures and not be bothered with image processing, they just don't understand how much better their images can be with just a little time spent on their image. So, upload an image just out of the camera and the same image after processing. They are to be loaded into the Before &amp; After folder.</p> <p>We are doing an exercise where we all will process the same image to see how differently each may do their processing. I have sent an image out to the members who were at the last meeting. They will process the image and upload it into the Hobie 50 Image Processing folder. If you want to participate, send me an e-mail ([masked]) and I will send you the image.</p> <p>Hope you can make it to the meeting and one of our meet-up's and trips.</p> <p>By the way, I have three Canon lens to give away at the meeting.</p>",
